"","HOUR","ID","SITE","DayNum","DATE","TIME","BEG","Date_Banded","Colony_Site_Banded","count","date.diff"
"109",9,"RD-L28","PHH",14,2015-08-06,"9:24",1,2015-07-10,"TBNS",231,27
"110",9,"RD-U30","PHH",42,2015-09-03,"9:18",0,2015-06-22,"EEME",231,73
"111",9,"RD-W45","CNB",9,2015-08-01,"9:42",0,2015-06-20,"SNME",231,42
"112",9,"DB-S57","PHH",59,2015-09-20,"9:26",0,2015-06-27,"GGNY",231,85
"113",9,"DB-R16","CNB",37,2015-08-29,"9:21",0,2015-06-24,"GGNY",231,66
"114",9,"RD-S76","PWE",26,2015-08-18,"9:30",0,2015-06-25,"SYNH",231,54
"115",9,"RD-V36","CNB",23,2015-08-15,"9:17",0,2015-06-25,"SNME",231,51
"116",9,"DB-W90","CNB",40,2015-09-01,"9:48",1,2015-06-29,"GGNY",231,64
"117",9,"DB-U69","PHH",42,2015-09-03,"9:12",0,2015-07-01,"GGNY",231,64
"118",9,"DB-Z21","PHH",38,2015-08-30,"9:07",0,2015-07-03,"GGNY",231,58
"119",9,"RD-T96","ENM",7,2015-07-30,"9:22",4,2015-06-16,"SNME",231,44
"120",9,"DB-R33","CNB",40,2015-09-01,"9:40",0,2015-06-24,"GGNY",231,69
"121",9,"DB-X16","PWE",26,2015-08-18,"9:12",0,2015-06-23,"GGNY",231,56
"122",9,"RD-W88","CNB",40,2015-09-01,"9:48",0,2015-06-24,"SNME",231,69
"123",9,"DB-S75","CNB",32,2015-08-24,"9:57",0,2015-06-29,"GGNY",231,56
"124",9,"RD-S84","PRPN",5,2015-07-28,"9:43",0,2015-06-26,"SYNH",231,32
"125",9,"DB-W09","PWE",25,2015-08-17,"9:08",3,2015-06-27,"GGNY",231,51
"126",9,"RD-U65","PHH",42,2015-09-03,"9:28",1,2015-06-27,"EEME",231,68
"127",9,"RD-U21","PHH",42,2015-09-03,"9:22",0,2015-06-19,"EEME",231,76
"128",9,"DB-P41","CNB",32,2015-08-24,"9:57",0,2015-06-26,"GGNY",231,59
"129",9,"RD-U67","PWE",25,2015-08-17,"9:16",0,2015-06-27,"EEME",231,51
"130",9,"DB-R74","CNB",37,2015-08-29,"9:57",0,2015-06-26,"GGNY",231,64
"131",9,"RD-V11","CNB",27,2015-08-19,"9:30",0,2015-06-24,"SNME",231,56
"132",9,"RD-W57","WJP",17,2015-08-09,"9:07",0,2015-06-20,"SNME",231,50
"133",9,"RD-J75","PHH",59,2015-09-20,"9:36",4,2015-07-06,"JYME",231,76
"134",9,"YL-F29","PHH",31,2015-08-23,"9:25",1,2015-06-22,"FICT",231,62
"135",9,"DB-F23","CNB",37,2015-08-29,"9:51",0,2015-06-25,"MYMA",231,65
"136",9,"RD-U30","PRPN",19,2015-08-11,"9:15",0,2015-06-22,"EEME",231,50
"137",9,"DB-W65","PHH",38,2015-08-30,"9:33",0,2015-06-27,"GGNY",231,64
"138",9,"RD-U19","PHH",38,2015-08-30,"9:34",0,2015-06-19,"EEME",231,72
"139",9,"RD-J69","PHH",42,2015-09-03,"9:22",0,2015-06-29,"JYME",231,66
"140",9,"DB-Y48","PHH",31,2015-08-23,"9:31",0,2015-06-23,"GGNY",231,61
"141",9,"RD-S60","PHH",31,2015-08-23,"9:59",0,2015-06-24,"SYNH",231,60
"142",9,"DB-W48","PWE",56,2015-09-17,"9:19",0,2015-06-30,"GGNY",231,79
"144",9,"RD-U46","PHH",42,2015-09-03,"9:28",0,2015-06-25,"EEME",231,70
"145",9,"DB-X40","CNB",23,2015-08-15,"9:37",0,2015-06-24,"GGNY",231,52
"146",9,"RD-W79","PWE",26,2015-08-18,"9:57",0,2015-06-22,"SNME",231,57
"147",9,"DB-Y70","PHH",42,2015-09-03,"9:22",0,2015-06-24,"GGNY",231,71
"148",9,"DB-W35","CNB",40,2015-09-01,"9:05",0,2015-06-30,"GGNY",231,63
"149",9,"RD-S83","PHH",38,2015-08-30,"9:10",1,2015-06-26,"SYNH",231,65
"150",9,"RD-V65","CNB",37,2015-08-29,"9:45",0,2015-06-27,"SNME",231,63
"151",9,"YL-B46","CNB",37,2015-08-29,"9:54",0,2015-07-10,"SNME",231,50
"153",9,"RD-S84","PHH",42,2015-09-03,"9:28",0,2015-06-26,"SYNH",231,69
"154",9,"DB-W44","CNB",37,2015-08-29,"9:42",0,2015-06-30,"GGNY",231,60
"155",9,"RD-W48","PRPN",5,2015-07-28,"9:22",9,2015-06-20,"SNME",231,38
"156",9,"DB-X31","PRPN",19,2015-08-11,"9:15",0,2015-06-24,"GGNY",231,48
"157",9,"YL-F23","CNB",48,2015-09-09,"9:09",1,2015-06-19,"FICT",231,82
"158",9,"DB-U58","PWE",26,2015-08-18,"9:05",1,2015-07-01,"GGNY",231,48
"159",9,"RD-S78","CNB",48,2015-09-09,"9:47",0,2015-06-25,"SYNH",231,76
"160",9,"DB-W51","CNB",37,2015-08-29,"9:45",0,2015-06-27,"GGNY",231,63
"161",9,"YL-E18","PHH",38,2015-08-30,"9:26",0,2015-07-24,"SYNH",231,37
"162",9,"RD-W11","PRPN",5,2015-07-28,"9:15",1,2015-06-18,"SNME",231,40
"163",9,"DB-R04","CNB",27,2015-08-19,"9:13",0,2015-06-23,"GGNY",231,57
"164",9,"DB-Y82","PWE",26,2015-08-18,"9:05",0,2015-06-24,"GGNY",231,55
"165",9,"YL-E03","PHH",59,2015-09-20,"9:43",0,2015-06-29,"SYNH",231,83
"166",9,"DB-W00","PHH",31,2015-08-23,"9:44",0,2015-06-29,"GGNY",231,55
"167",9,"RD-W69","PHH",31,2015-08-23,"9:32",5,2015-06-22,"SNME",231,62
"168",9,"RD-W17","PRPN",2,2015-07-25,"9:06",1,2015-06-19,"SNME",231,36
"169",9,"RD-W78","CNB",23,2015-08-15,"9:54",5,2015-06-22,"SNME",231,54
"170",9,"RD-X34","CNB",27,2015-08-19,"9:35",1,2015-06-24,"EEME",231,56
"171",9,"RD-S93","CNB",40,2015-09-01,"9:42",0,2015-06-27,"SYNH",231,66
"172",9,"YL-F18","PHH",1,2015-07-24,"9:57",1,2015-06-18,"FICT",231,36
"173",9,"RD-W61","PRPN",5,2015-07-28,"9:36",1,2015-06-22,"SNME",231,36
"174",9,"RD-S58","PHH",14,2015-08-06,"9:44",3,2015-06-24,"SYNH",231,43
"175",9,"RD-S70","PWE",56,2015-09-17,"9:42",0,2015-06-25,"SYNH",231,84
"176",9,"DB-X29","CNB",40,2015-09-01,"9:12",0,2015-06-24,"GGNY",231,69
"177",9,"RD-U57","CNB",37,2015-08-29,"9:10",0,2015-06-26,"EEME",231,64
"178",9,"DB-U53","PWE",25,2015-08-17,"9:15",1,2015-07-01,"GGNY",231,47
"179",10,"RD-V59","CNBI",36,2015-08-28,"10:15",0,2015-06-27,"SNME",149,62
"180",10,"RD-U96","CNB",40,2015-09-01,"10:57",0,2015-06-29,"EEME",149,64
"181",10,"RD-J64","PWE",42,2015-09-03,"10:50",0,2015-06-25,"JYME",149,70
"182",10,"DB-R22","CNB",40,2015-09-01,"10:33",0,2015-06-24,"GGNY",149,69
"183",10,"DB-W40","CNB",23,2015-08-15,"10:16",0,2015-06-30,"GGNY",149,46
"184",10,"DB-S62","CNB",37,2015-08-29,"10:43",0,2015-06-29,"GGNY",149,61
"185",10,"RD-T99","PRPN",0,2015-07-23,"10:50",0,2015-06-16,"SNME",149,37
"186",10,"DB-L71","CNB",27,2015-08-19,"10:44",0,2015-06-22,"GGNY",149,58
"187",10,"DB-L26","PHH",31,2015-08-23,"10:59",0,2015-06-17,"GGNY",149,67
"188",10,"RD-W61","PHH",2,2015-07-25,"10:11",1,2015-06-22,"SNME",149,33
"189",10,"RD-T99","CNB",9,2015-08-01,"10:27",0,2015-06-16,"SNME",149,46
"190",10,"RD-W15","PRPN",16,2015-08-08,"10:43",0,2015-06-19,"SNME",149,50
"191",10,"RD-S63","PRPN",16,2015-08-08,"10:25",0,2015-06-24,"SYNH",149,45
"192",10,"DB-L65","PWE",44,2015-09-05,"10:31",0,2015-06-22,"GGNY",149,75
"193",10,"DB-X30","CNB",9,2015-08-01,"10:21",6,2015-06-24,"GGNY",149,38
"194",10,"RD-S00","CNB",27,2015-08-19,"10:03",6,2015-06-29,"SYNH",149,51
"195",10,"RD-W17","PHH",1,2015-07-24,"10:17",1,2015-06-19,"SNME",149,35
"196",10,"DB-W13","PHH",31,2015-08-23,"10:53",0,2015-06-30,"GGNY",149,54
"197",10,"DB-F22","PHH",3,2015-07-26,"10:20",3,2015-06-17,"MYMA",149,39
"198",10,"RD-V43","CNBI",36,2015-08-28,"10:28",3,2015-06-26,"SNME",149,63
"199",10,"DB-L51","PRPN",16,2015-08-08,"10:01",0,2015-06-20,"GGNY",149,49
"200",10,"DB-S64","CNBI",36,2015-08-28,"10:34",0,2015-06-29,"GGNY",149,60
"201",10,"DB-X46","PHH",31,2015-08-23,"10:36",0,2015-06-24,"GGNY",149,60
