,ID,DayNum,DATE,Date_Banded,date.diff
134,YL-F29,31,8/23/2015,6/22/2015,62
135,DB-F23,37,8/29/2015,6/25/2015,65
136,RD-U30,19,8/11/2015,6/22/2015,50
137,DB-W65,38,8/30/2015,6/27/2015,64
138,RD-U19,38,8/30/2015,6/19/2015,72
139,RD-J69,42,9/3/2015,6/29/2015,66
140,DB-Y48,31,8/23/2015,6/23/2015,61
141,RD-S60,31,8/23/2015,6/24/2015,60
142,DB-W48,56,9/17/2015,6/30/2015,79
144,RD-U46,42,9/3/2015,6/25/2015,70
145,DB-X40,23,8/15/2015,6/24/2015,52
146,RD-W79,26,8/18/2015,6/22/2015,57
147,DB-Y70,42,9/3/2015,6/24/2015,71
148,DB-W35,40,9/1/2015,6/30/2015,63
149,RD-S83,38,8/30/2015,6/26/2015,65
150,RD-V65,37,8/29/2015,6/27/2015,63
151,YL-B46,37,8/29/2015,7/10/2015,50
153,RD-S84,42,9/3/2015,6/26/2015,69
154,DB-W44,37,8/29/2015,6/30/2015,60
155,RD-W48,5,7/28/2015,6/20/2015,38
156,DB-X31,19,8/11/2015,6/24/2015,48
157,YL-F23,48,9/9/2015,6/19/2015,82
158,DB-U58,26,8/18/2015,7/1/2015,48
159,RD-S78,48,9/9/2015,6/25/2015,76
160,DB-W51,37,8/29/2015,6/27/2015,63
161,YL-E18,38,8/30/2015,7/24/2015,37
162,RD-W11,5,7/28/2015,6/18/2015,40
163,DB-R04,27,8/19/2015,6/23/2015,57
164,DB-Y82,26,8/18/2015,6/24/2015,55
165,YL-E03,59,9/20/2015,6/29/2015,83
166,DB-W00,31,8/23/2015,6/29/2015,55
167,RD-W69,31,8/23/2015,6/22/2015,62
168,RD-W17,2,7/25/2015,6/19/2015,36
169,RD-W78,23,8/15/2015,6/22/2015,54
170,RD-X34,27,8/19/2015,6/24/2015,56
171,RD-S93,40,9/1/2015,6/27/2015,66
172,YL-F18,1,7/24/2015,6/18/2015,36
173,RD-W61,5,7/28/2015,6/22/2015,36
174,RD-S58,14,8/6/2015,6/24/2015,43
175,RD-S70,56,9/17/2015,6/25/2015,84
176,DB-X29,40,9/1/2015,6/24/2015,69
177,RD-U57,37,8/29/2015,6/26/2015,64
178,DB-U53,25,8/17/2015,7/1/2015,47
179,RD-V59,36,8/28/2015,6/27/2015,62
180,RD-U96,40,9/1/2015,6/29/2015,64
181,RD-J64,42,9/3/2015,6/25/2015,70
182,DB-R22,40,9/1/2015,6/24/2015,69
183,DB-W40,23,8/15/2015,6/30/2015,46
184,DB-S62,37,8/29/2015,6/29/2015,61
185,RD-T99,0,7/23/2015,6/16/2015,37
186,DB-L71,27,8/19/2015,6/22/2015,58
187,DB-L26,31,8/23/2015,6/17/2015,67
188,RD-W61,2,7/25/2015,6/22/2015,33
189,RD-T99,9,8/1/2015,6/16/2015,46
190,RD-W15,16,8/8/2015,6/19/2015,50
191,RD-S63,16,8/8/2015,6/24/2015,45
192,DB-L65,44,9/5/2015,6/22/2015,75
193,DB-X30,9,8/1/2015,6/24/2015,38
194,RD-S00,27,8/19/2015,6/29/2015,51
195,RD-W17,1,7/24/2015,6/19/2015,35
196,DB-W13,31,8/23/2015,6/30/2015,54
197,DB-F22,3,7/26/2015,6/17/2015,39
198,RD-V43,36,8/28/2015,6/26/2015,63
199,DB-L51,16,8/8/2015,6/20/2015,49
200,DB-S64,36,8/28/2015,6/29/2015,60
201,DB-X46,31,8/23/2015,6/24/2015,60
202,RD-W68,42,9/3/2015,6/22/2015,73
203,RD-L08,40,9/1/2015,7/10/2015,53
204,YL-E08,4,7/27/2015,7/1/2015,26
205,RD-J69,31,8/23/2015,6/29/2015,55
206,RD-L22,59,9/20/2015,7/10/2015,72
207,DB-W89,42,9/3/2015,6/29/2015,66
208,RD-S60,18,8/10/2015,6/24/2015,47
209,DB-W13,59,9/20/2015,6/30/2015,82
